2,0,-10,22473;2,0,-10,22473;2,0,-10,22473;2,0,-10,22473;2,0,-10,22473;2,0,-10,22473;2,0,-10,22473;2,0,-10,22473;2,0,-10,22473;2,0,-10,22473;2,0,-10,22473;2,0,-10,22473;2,0,-10,22473;2,0,-10,22473;2,0,-10,22473;2,0,-10,22473;2,0,-10,22473;2,0,-10,22473;2,0,-10,22473;2,0,-10,22473;2,0,-10,22473;2,0,-9,904454;2,0,-9,904454;2,0,-9,904454;2,0,-9,904454;2,0,-9,904454;2,0,-9,904454;2,0,-9,904454;2,0,-9,904454;2,0,-9,904454;2,0,-9,904454;2,0,-9,904454;2,0,-9,904454;2,0,-9,904454;2,0,-9,904454;2,0,-9,904454;2,0,-9,904454;2,0,-9,904454;2,0,-9,904454;2,0,-9,904454;2,0,-9,904454;2,0,-9,904454; 0,012
-2,595815,-5,883459,2,577979;-3,43919,-5,509862,2,387104;-4,116746,-4,553935,2,468138;-4,577278,-3,765412,2,675614;-5,091713,-3,258965,2,931252;-4,136559,-2,713247,2,747618;-4,608378,-1,423626,3,245788;-4,928104,-0,618938,3,617996;-5,205585,0,137392,3,910293;-3,815207,-2,513029,3,308146;-4,277311,-1,118682,3,993454;-4,634716,-0,1982675,4,555275;-4,965136,0,6760917,4,982579;-3,399614,-2,626836,3,862069;-3,780564,-1,367224,4,513928;-4,119812,-0,6232343,4,992343;-4,447939,-0,004393578,5,345271;-2,907551,-3,026104,4,390916;-3,064108,-2,095602,5,021883;-3,295656,-1,549041,5,390449;-3,54425,-1,093621,5,657271;-9,273849,-8,063055,0,4085879;-8,59849,-7,778236,0,7055357;-8,082248,-7,150115,0,9537235;-7,732565,-6,480697,1,235381;-7,398869,-6,028255,1,541397;-8,397708,-5,409328,0,6675014;-8,182934,-4,320636,0,9052342;-8,07332,-3,641264,1,140503;-7,99765,-3,030134,1,30244;-8,760659,-5,183522,0,7644446;-8,588531,-3,867224,0,9545438;-8,474069,-3,037145,1,226664;-8,38284,-2,313385,1,421296;-9,134526,-5,226885,0,905759;-9,022591,-3,97757,1,102463;-8,919047,-3,189183,1,342293;-8,813704,-2,511993,1,520489;-9,529157,-5,480162,1,075471;-9,581965,-4,498271,1,304251;-9,570915,-3,846736,1,494701;-9,521029,-3,224041,1,625312; 0,050
-2,378381,-6,048295,2,425234;-3,17733,-5,687878,2,28848;-3,821113,-4,658015,2,338527;-4,259663,-3,819906,2,531637;-4,787292,-3,282348,2,775972;-3,750827,-2,821066,2,52321;-4,208282,-1,408285,2,94298;-4,500062,-0,5316529,3,260368;-4,732689,0,2525783,3,530365;-3,424665,-2,641257,3,025203;-3,864355,-1,111907,3,633686;-4,190985,-0,1074672,4,167053;-4,486958,0,7926745,4,583797;-3,00593,-2,753572,3,530948;-3,354469,-1,379529,4,122944;-3,683106,-0,5653977,4,555794;-4,008136,0,06767654,4,875835;-2,521194,-3,123014,4,020586;-2,686263,-2,054483,4,640752;-2,931581,-1,435086,5,008302;-3,202413,-0,972261,5,26874;-9,276276,-8,077196,0,4504836;-8,600388,-7,792003,0,7678229;-8,083902,-7,159467,1,032645;-7,734513,-6,491222,1,330684;-7,3996,-6,03,1,64996;-8,402769,-5,407576,0,7414771;-8,193346,-4,307548,0,9820562;-8,083231,-3,626981,1,21439;-8,00671,-3,025087,1,371527;-8,767399,-5,187725,0,8304101;-8,600511,-3,868783,1,029821;-8,487343,-3,041099,1,3011;-8,397733,-2,323549,1,493031;-9,134526,-5,226885,0,9476233;-9,022591,-3,97757,1,144328;-8,919047,-3,189183,1,384157;-8,813704,-2,511993,1,562353;-9,529157,-5,480162,1,117335;-9,581965,-4,498271,1,346116;-9,570915,-3,846736,1,536565;-9,521029,-3,224041,1,667176; 0,105
-1,171766,-7,037954,1,901534;-1,87618,-6,774705,2,038915;-2,524808,-5,805046,2,195152;-3,017,-4,965673,2,394705;-3,455236,-4,357124,2,687264;-2,121357,-3,850435,2,380195;-2,483274,-2,446985,2,670142;-2,733513,-1,669036,2,909065;-2,937742,-1,044219,3,129538;-1,704998,-3,688066,2,60731;-1,922737,-2,115486,3,0073;-2,090938,-1,238056,3,302736;-2,27489,-0,6609197,3,523593;-1,274026,-3,889623,2,846961;-1,329113,-2,441041,3,272071;-1,453607,-1,523014,3,570793;-1,638034,-0,8239141,3,826025;-0,8895168,-4,424074,3,079885;-0,7611876,-3,329434,3,505885;-0,7323008,-2,56637,3,757412;-0,8104382,-1,92115,4,017359;-9,308885,-8,102201,0,428179;-8,609081,-7,85404,0,7582428;-8,056704,-7,205942,1,032405;-7,685326,-6,525827,1,340679;-7,3285,-6,031002,1,670787;-8,376119,-5,46801,0,7446578;-8,159756,-4,370661,1,022113;-8,050916,-3,691573,1,270654;-7,977778,-3,084037,1,435916;-8,74635,-5,234296,0,8446853;-8,567432,-3,920246,1,068668;-8,461406,-3,091612,1,347599;-8,381495,-2,36596,1,546661;-9,131457,-5,276422,0,9952487;-9,005628,-4,018291,1,226722;-8,897969,-3,219379,1,478881;-8,789094,-2,526692,1,673031;-9,547113,-5,528474,1,175431;-9,58464,-4,533296,1,425159;-9,565542,-3,874475,1,627377;-9,504202,-3,239365,1,774574; 0,296
-0,563982,-8,760384,1,359152;-1,225859,-8,320457,1,869545;-1,831169,-7,505666,2,151245;-2,306695,-6,773246,2,403152;-2,737737,-6,374025,2,697497;-1,267746,-5,698541,1,917692;-1,459022,-4,483682,2,245845;-1,541606,-3,716877,2,489949;-1,608979,-2,999965,2,706487;-0,8118052,-5,504819,1,900374;-0,868916,-4,150105,2,214358;-0,8793354,-3,309136,2,50053;-0,881855,-2,569147,2,713952;-0,3871431,-5,643557,1,945073;-0,3351746,-4,373143,2,258977;-0,3194046,-3,616354,2,55812;-0,3311391,-2,960315,2,781615;0,02668571,-6,043201,2,020038;0,2477803,-5,120723,2,346976;0,3778682,-4,561992,2,585661;0,4647918,-4,009717,2,778646;-9,040201,-8,2047,0,7307734;-8,346969,-7,932931,0,972174;-7,798371,-7,218145,1,179128;-7,425418,-6,521194,1,441286;-7,066814,-6,059829,1,732195;-8,134824,-5,451293,0,8358363;-7,912315,-4,346382,1,045426;-7,779415,-3,668505,1,263668;-7,687769,-3,070837,1,392973;-8,498513,-5,223653,0,9600632;-8,34024,-3,876966,1,103088;-8,218577,-3,048976,1,347786;-8,12582,-2,343669,1,507856;-8,869783,-5,270853,1,1346;-8,758966,-3,981339,1,302218;-8,652478,-3,177939,1,529879;-8,543621,-2,49116,1,696637;-9,260402,-5,528495,1,336931;-9,317655,-4,499277,1,543021;-9,307102,-3,816618,1,730544;-9,254209,-3,164264,1,853054; 0,615
-0,4897223,-9,076059,0,7167624;-1,010739,-8,835587,1,450155;-1,509263,-8,225252,1,880198;-1,850113,-7,671264,2,229143;-2,217845,-7,37128,2,601347;-0,9666872,-6,262603,1,596534;-1,096224,-5,191546,1,988343;-1,075552,-4,59864,2,313729;-1,016026,-4,057297,2,570855;-0,5094576,-6,041421,1,467306;-0,4783988,-4,855785,1,835524;-0,3817739,-4,188644,2,125838;-0,2670059,-3,631841,2,302331;-0,123868,-6,162686,1,396776;0,03702164,-5,031446,1,750094;0,1538925,-4,408721,2,086188;0,2652164,-3,884861,2,309968;0,2428851,-6,561919,1,388579;0,5499897,-5,783544,1,727977;0,7694025,-5,339319,2,001962;0,962678,-4,877185,2,231761;-9,095999,-8,40262,1,212343;-8,336749,-7,975027,1,43499;-7,797079,-7,26894,1,658377;-7,416677,-6,597246,1,941419;-7,060863,-6,164264,2,264192;-8,152566,-5,503124,1,362287;-7,932591,-4,409763,1,584814;-7,791862,-3,729296,1,824803;-7,687449,-3,121688,1,984475;-8,51204,-5,293987,1,500062;-8,350478,-3,942257,1,66594;-8,218334,-3,101235,1,933994;-8,12281,-2,37875,2,117536;-8,878962,-5,351232,1,685418;-8,777273,-4,075022,1,867047;-8,662063,-3,263753,2,094121;-8,550542,-2,573477,2,252128;-9,26213,-5,61867,1,88838;-9,326751,-4,58477,2,109382;-9,309645,-3,887197,2,290904;-9,258853,-3,221211,2,399775; 0,798
-0,4147053,-9,1236,0,4506446;-0,8852034,-9,008408,1,295572;-1,339019,-8,443378,1,771819;-1,60666,-7,888586,2,135412;-1,933537,-7,579587,2,516355;-0,8493776,-6,420452,1,516523;-0,9075546,-5,426624,1,932663;-0,8065567,-4,936988,2,329954;-0,6491003,-4,565158,2,652139;-0,3965158,-6,202105,1,326658;-0,3521852,-5,135589,1,690302;-0,1909037,-4,561998,2,051358;0,01268196,-4,154724,2,33844;-0,02281189,-6,331121,1,19249;0,1588492,-5,326087,1,543447;0,346839,-4,811247,1,937758;0,5490799,-4,433849,2,236813;0,3281937,-6,745086,1,128947;0,6289659,-5,980594,1,468545;0,8822136,-5,585535,1,791368;1,120155,-5,202971,2,071201;-9,146084,-8,472204,0,8778775;-8,381717,-8,071159,1,026752;-7,831997,-7,349939,1,198917;-7,450926,-6,674966,1,43897;-7,096602,-6,226345,1,714045;-8,187252,-5,586446,0,9407811;-7,965696,-4,473357,1,127281;-7,823259,-3,785885,1,345514;-7,717073,-3,175718,1,493935;-8,544995,-5,379982,1,101112;-8,381681,-4,037816,1,231309;-8,248906,-3,190031,1,482598;-8,14854,-2,464452,1,663859;-8,916132,-5,451079,1,308822;-8,814563,-4,194417,1,465312;-8,698525,-3,384447,1,683473;-8,586329,-2,694621,1,848637;-9,306068,-5,735172,1,524605;-9,363318,-4,715462,1,741595;-9,340475,-4,025592,1,927363;-9,286219,-3,370319,2,043785; 0,861
-0,1795197,-8,934399,-0,6288677;-0,6032934,-8,78273,0,4828428;-0,8958864,-8,261667,1,196919;-0,9207382,-7,558342,1,752353;-0,7013974,-7,015423,2,281328;-0,5771608,-6,440517,0,7020464;-0,4087591,-5,471864,1,481629;-0,1933498,-5,770013,2,130051;-0,08113909,-6,40223,2,475074;-0,1368103,-6,385776,0,3806078;0,1446781,-5,294311,1,209371;0,344449,-5,73933,1,756496;0,3256207,-6,400655,2,027221;0,2297592,-6,528306,0,1609285;0,540319,-5,745737,0,9118477;0,665792,-6,293931,1,358521;0,6096973,-6,940382,1,559842;0,5403399,-6,800991,-0,001823843;0,838438,-6,351957,0,6426133;0,9281526,-6,704857,1,013439;0,8579216,-7,144246,1,225406;-9,402023,-8,615391,0,7264751;-8,731284,-8,241669,0,9875375;-8,209831,-7,505449,1,248389;-7,846022,-6,859514,1,563317;-7,489384,-6,38498,1,906864;-8,588788,-5,780693,1,044096;-8,412473,-4,667041,1,328537;-8,289885,-4,002468,1,587977;-8,190271,-3,394254,1,781973;-8,953113,-5,649332,1,201932;-8,832991,-4,34909,1,474841;-8,718988,-3,495924,1,806191;-8,626892,-2,74897,2,04183;-9,315681,-5,80126,1,407253;-9,264902,-4,589533,1,689197;-9,161776,-3,787412,1,995005;-9,050657,-3,090889,2,215713;-9,694979,-6,163783,1,627884;-9,778314,-5,210032,1,935213;-9,769056,-4,546949,2,180257;-9,727122,-3,879297,2,350634; 1,233
-0,1570168,-8,559362,-0,5685977;-0,6711102,-8,03964,0,1333997;-1,017594,-7,187599,0,6330937;-1,085124,-6,317213,1,116255;-0,8224592,-5,64396,1,568865;-0,5933681,-5,776511,-0,04263824;-0,5414295,-4,830394,0,7745737;-0,4927769,-5,435909,1,283046;-0,4625964,-6,095874,1,413316;-0,1655393,-5,833107,-0,1462931;-0,03734016,-4,88343,0,7340497;-0,05788088,-5,704404,1,112542;-0,1332607,-6,329143,1,090317;0,2248073,-6,006735,-0,1311698;0,3732991,-5,12396,0,6182054;0,2950239,-5,879109,0,8488821;0,1857958,-6,511871,0,7717086;0,5960917,-6,285703,-0,04598576;0,75914,-5,548185,0,4686104;0,6701193,-5,97403,0,7003447;0,533021,-6,477594,0,7006021;-9,394946,-8,549021,0,6481109;-8,736918,-8,197624,0,9264073;-8,220561,-7,458438,1,181863;-7,860614,-6,781185,1,484042;-7,483917,-6,307762,1,823524;-8,597448,-5,748772,0,9289167;-8,40932,-4,64879,1,186411;-8,285636,-3,979306,1,428463;-8,19406,-3,375766,1,604468;-8,963829,-5,592489,1,051256;-8,830094,-4,296073,1,273061;-8,713786,-3,452891,1,565702;-8,62649,-2,717722,1,780649;-9,329671,-5,724037,1,221012;-9,26254,-4,50917,1,454429;-9,150211,-3,7281,1,720984;-9,038495,-3,053439,1,914637;-9,711231,-6,060287,1,413477;-9,782537,-5,108268,1,765012;-9,769026,-4,443952,1,991572;-9,724141,-3,780626,2,150866; 1,415
-0,1545982,-8,186268,-0,2678404;-0,7421417,-7,579669,0,2633699;-1,123744,-6,572229,0,6745383;-1,198181,-5,59597,1,107543;-0,9571257,-4,88932,1,510693;-0,6718402,-5,274765,-0,01853655;-0,6009531,-4,225012,0,7736442;-0,5503507,-4,904531,1,230998;-0,5172958,-5,602496,1,325037;-0,246623,-5,350755,-0,05928275;-0,08388615,-4,274454,0,7468519;-0,1089125,-5,134304,1,076197;-0,1878548,-5,757226,1,024886;0,1508946,-5,533825,0,01388496;0,3434887,-4,537472,0,6788843;0,2301469,-5,308467,0,8394985;0,104732,-5,945676,0,7096086;0,5309587,-5,818185,0,1317513;0,6950541,-4,995939,0,5550014;0,5930424,-5,423004,0,7096711;0,4567904,-5,918718,0,6479324;-9,412818,-8,554178,0,6324638;-8,757477,-8,20434,0,9045924;-8,240299,-7,462945,1,149862;-7,886771,-6,783864,1,445521;-7,512661,-6,31674,1,780483;-8,609938,-5,763671,0,8939161;-8,424013,-4,681742,1,139238;-8,302846,-4,016082,1,372433;-8,215789,-3,418563,1,540419;-8,972177,-5,600778,1,014156;-8,831226,-4,32218,1,221784;-8,715178,-3,47959,1,505311;-8,629253,-2,742455,1,712278;-9,337812,-5,721154,1,179083;-9,258239,-4,519189,1,394973;-9,146686,-3,735504,1,652941;-9,037609,-3,06392,1,842837;-9,721113,-6,045994,1,369188;-9,787085,-5,10206,1,616509;-9,771298,-4,457649,1,825437;-9,725938,-3,825455,1,974131; 1,538
-0,2287464,-7,737991,0,6739225;-0,862258,-7,175277,1,188643;-1,303764,-6,139379,1,571997;-1,427182,-5,099555,1,990239;-1,204,-4,360054,2,365752;-0,9248452,-4,664847,0,8699629;-0,881032,-3,6274,1,662444;-0,7916241,-4,4631,2,080813;-0,7446423,-5,190685,2,116286;-0,4788761,-4,638752,0,8398922;-0,3497095,-3,598352,1,757162;-0,3354583,-4,707933,2,097802;-0,4075632,-5,397942,1,986737;-0,04602098,-4,760294,0,9311078;0,08450317,-3,776555,1,706322;0,01861668,-4,785591,1,856112;-0,07670069,-5,468302,1,662059;0,3875799,-5,036254,1,0518;0,4839568,-4,23631,1,560228;0,3771305,-4,858217,1,700234;0,2510519,-5,418531,1,566527;-9,433955,-8,583487,0,6079358;-8,789214,-8,233875,0,8885816;-8,280734,-7,522708,1,152722;-7,939226,-6,856531,1,461191;-7,586246,-6,395748,1,797662;-8,641126,-5,799398,0,8949735;-8,465102,-4,735084,1,152203;-8,344798,-4,085962,1,394779;-8,250146,-3,498411,1,570055;-8,998448,-5,640043,1,016286;-8,869136,-4,3875,1,239187;-8,753339,-3,57835,1,529312;-8,664065,-2,873537,1,737678;-9,358086,-5,760683,1,186673;-9,290361,-4,581157,1,413677;-9,183054,-3,822255,1,681002;-9,074611,-3,170198,1,876059;-9,721692,-6,06241,1,334384;-9,795009,-5,118852,1,575745;-9,786465,-4,479431,1,774516;-9,748565,-3,851669,1,912735; 1,666
-0,3387632,-7,542433,0,9848733;-0,9859219,-7,004526,1,540841;-1,42922,-5,917799,1,932729;-1,559093,-4,861553,2,362006;-1,346488,-4,118747,2,742911;-1,068048,-4,385591,1,158798;-0,9806528,-3,39042,2,011938;-0,8794413,-4,251651,2,4769;-0,8334513,-4,992454,2,544343;-0,6134562,-4,354488,1,120048;-0,4488907,-3,237726,2,040928;-0,436832,-4,374107,2,395899;-0,5173616,-5,128365,2,289513;-0,1769562,-4,502487,1,20857;-0,0172658,-3,454345,2,000257;-0,08857346,-4,497008,2,160449;-0,1894894,-5,233892,1,977144;0,2506242,-4,819614,1,330949;0,375174,-4,021678,1,839044;0,2786822,-4,645917,1,981263;0,1522694,-5,218992,1,852016;-9,455542,-8,626652,0,6178957;-8,81867,-8,256058,0,8925704;-8,315925,-7,527829,1,147004;-7,981389,-6,856075,1,443811;-7,627983,-6,401247,1,767609;-8,684424,-5,834805,0,9092527;-8,516623,-4,756441,1,157567;-8,402624,-4,093236,1,390379;-8,309931,-3,490209,1,556587;-9,043222,-5,676674,1,023938;-8,916335,-4,421482,1,240454;-8,804516,-3,609807,1,524003;-8,713188,-2,906896,1,724193;-9,40096,-5,798408,1,18529;-9,341945,-4,612731,1,403204;-9,246764,-3,844383,1,66657;-9,144347,-3,186598,1,85695;-9,773772,-6,129254,1,362004;-9,846133,-5,200362,1,613152;-9,84104,-4,571055,1,820204;-9,804416,-3,965619,1,958556; 1,725
-0,4497962,-7,325811,0,9311358;-1,084123,-6,79906,1,48983;-1,542273,-5,746244,1,903642;-1,699314,-4,692731,2,356089;-1,493287,-3,96378,2,747215;-1,213815,-4,188319,1,117726;-1,173171,-3,155605,2,017532;-1,075683,-3,999689,2,503023;-1,020232,-4,703461,2,535963;-0,7649856,-4,158263,1,092261;-0,6359801,-3,026707,2,102922;-0,6302204,-4,160844,2,49188;-0,6995831,-4,861571,2,354872;-0,3276129,-4,307137,1,193178;-0,1956406,-3,238846,2,024272;-0,2710371,-4,283103,2,200047;-0,355217,-4,984546,1,993173;0,1191883,-4,634475,1,330029;0,2305222,-3,808871,1,820333;0,1188021,-4,428892,1,969475;-0,001916885,-4,991536,1,834332;-9,521435,-8,632219,0,633463;-8,879138,-8,246592,0,9329493;-8,381029,-7,528057,1,195007;-8,059278,-6,860694,1,483996;-7,727074,-6,403215,1,791338;-8,741042,-5,851707,0,9889944;-8,572619,-4,763147,1,272246;-8,462604,-4,106622,1,517661;-8,369304,-3,497611,1,685443;-9,11244,-5,68491,1,091978;-8,989514,-4,426172,1,342993;-8,880185,-3,630144,1,646289;-8,784705,-2,936875,1,859708;-9,477551,-5,799857,1,240906;-9,424412,-4,614267,1,48462;-9,332562,-3,863443,1,762172;-9,227635,-3,220315,1,957905;-9,85212,-6,123252,1,40313;-9,930687,-5,219538,1,662798;-9,927687,-4,602495,1,877073;-9,886459,-4,008656,2,019029; 1,790
-1,01298,-6,792177,1,095197;-1,687469,-6,375906,1,70686;-2,200515,-5,410812,2,13223;-2,419833,-4,383594,2,592635;-2,351899,-3,489892,3,006393;-2,011954,-3,756294,1,524981;-2,0951,-2,545002,2,346198;-1,987609,-3,266086,2,890081;-1,88763,-4,045614,3,038065;-1,543288,-3,627019,1,4958;-1,534534,-2,361499,2,457903;-1,505707,-3,438199,2,927764;-1,518531,-4,277339,2,93044;-1,074879,-3,67859,1,577276;-1,03998,-2,452421,2,374641;-1,086863,-3,493516,2,603891;-1,126131,-4,306039,2,510219;-0,5814948,-3,906393,1,704837;-0,5313587,-3,017206,2,239042;-0,6255107,-3,711675,2,437978;-0,7091589,-4,377281,2,396145;-10,06957,-8,858658,0,7624862;-9,438847,-8,464716,1,084461;-8,943291,-7,714501,1,357585;-8,621146,-7,005411,1,644936;-8,227636,-6,498724,1,971602;-9,273463,-6,027227,1,1173;-9,143373,-4,907877,1,378496;-9,064842,-4,266073,1,605605;-8,994067,-3,679731,1,75293;-9,653646,-5,872482,1,20664;-9,581545,-4,621484,1,438607;-9,502613,-3,843281,1,715995;-9,419603,-3,174441,1,922898;-10,02744,-5,998428,1,355344;-10,00793,-4,818939,1,56277;-9,935842,-4,081585,1,832616;-9,841688,-3,465785,2,045625;-10,40763,-6,346119,1,519679;-10,50818,-5,434507,1,755255;-10,51981,-4,814289,1,983743;-10,48954,-4,22923,2,160149; 2,102
-1,263893,-6,714874,1,003939;-1,993521,-6,27718,1,4558;-2,533794,-5,279783,1,829597;-2,77056,-4,274051,2,263727;-2,742953,-3,396994,2,65045;-2,299516,-3,722497,1,346284;-2,458644,-2,489164,2,154227;-2,408595,-3,150062,2,696422;-2,302482,-3,910413,2,875094;-1,845013,-3,585032,1,401677;-1,901659,-2,318895,2,327355;-1,916331,-3,324783,2,804065;-1,893143,-4,142882,2,855398;-1,368145,-3,6317,1,547784;-1,394115,-2,410315,2,309045;-1,482805,-3,390469,2,525776;-1,495853,-4,194413,2,455101;-0,8379593,-3,842475,1,731326;-0,8618436,-2,926093,2,252272;-0,9995871,-3,596607,2,465483;-1,071067,-4,274603,2,463875;-10,18622,-8,88611,0,6930881;-9,573661,-8,489992,1,031844;-9,097788,-7,739112,1,314868;-8,802305,-7,025417,1,618706;-8,48806,-6,538095,1,956061;-9,539327,-6,067424,1,086449;-9,409398,-4,978811,1,374012;-9,339251,-4,3397,1,628192;-9,285475,-3,751368,1,794787;-9,925016,-5,927643,1,178915;-9,759501,-4,679719,1,445082;-9,685521,-3,913337,1,741829;-9,611197,-3,235279,1,959377;-10,21093,-6,079958,1,356808;-10,19097,-4,918357,1,600689;-10,12681,-4,18289,1,894007;-10,04355,-3,547772,2,131587;-10,60041,-6,468103,1,540876;-10,70548,-5,562922,1,804224;-10,72344,-4,948362,2,054813;-10,70039,-4,34506,2,256165; 2,228
